Date, scanner, mean_snr, mean_tsnr
2022-11-01, fmrif3ta, 382.66, 211.94
2022-11-02, fmrif3ta, 381, 200.66
2022-11-03, fmrif3tb, 397.8, 210.62
2022-11-05, fmrif3ta, 343.91, 189.31
2022-11-09, fmrif3ta, 389.8, 200
2022-11-09, fmrif3tb, 439.8, 224.19
2022-11-13, fmrif3ta, 386.86, 209.28
2022-11-15, fmrif3ta, 444.74, 207.79
2022-11-16, fmrif3ta, 389.5, 192.92
2022-10-29, fmrif3ta, 370.1, 223.51
2022-10-26, fmrif3ta, 341.88, 171.84
2022-11-18, fmrif3tb, 298.88, 146.62
2022-10-24, fmrif3ta, 364.95, 214.11
2022-11-19, fmrif3ta, 368.69, 186.08
2022-11-20, fmrif3ta, 431.9, 213.63
2022-10-23, fmrif3ta, 380.9, 183.74
2022-10-05, fmrif3ta, 383.03, 205.43
2022-11-21, fmrif3ta, 395.58, 227.43
2022-10-13, fmrif3ta, 371.71, 204.56
2022-10-12, fmrif3ta, 349.6, 175.33
2022-10-11, fmrif3ta, 362.84, 213.43
2022-11-22, fmrif3ta, 385.88, 198.95
2022-11-23, fmrif3ta, 346.32, 173.08
2022-11-25, fmrif3ta, 398.32, 188.69
2022-11-28, fmrif3ta, 356.67, 200.39
2022-11-29, fmrif3ta, 386.26, 194.05
2022-11-30, fmrif3ta, 396.28, 206.17
2022-12-02, fmrif3ta, 420.44, 191.68
2022-12-06, fmrif3ta, 420.33, 199.14
2022-12-07, fmrif3ta, 383.68, 189.02
2022-12-08, fmrif3ta, 363.66, 191.35
2022-12-10, fmrif3ta, 378.77, 196.88
2022-12-11, fmrif3ta, 348.88, 186.86
2022-12-13, fmrif3ta, 383.99, 191.69
2022-12-14, fmrif3ta, 376.08, 194.09
2022-12-15, fmrif3ta, 377.65, 203.71
2022-12-16, fmrif3ta, 402.43, 219.96
2022-12-17, fmrif3ta, 355.35, 188.81
2022-12-18, fmrif3ta, 399.45, 225.11
2022-12-19, fmrif3ta, 377.5, 190.16
2022-12-20, fmrif3ta, 350.17, 196.96
2022-12-21, fmrif3ta, 305.88, 181.88
2022-12-27, fmrif3ta, 423.81, 203.95
2022-12-28, fmrif3ta, 408.3, 194.56
2022-12-30, fmrif3ta, 387.2, 231.85
2023-01-03, fmrif3ta, 386.88, 231.8
2023-01-04, fmrif3ta, 386.9, 191.06
2023-01-07, fmrif3ta, 251.87, 189.07
2023-01-08, fmrif3ta, 208.91, 163.54
2023-01-10, fmrif3ta, 168.01, 178.99
2023-01-11, fmrif3ta, 156.29, 174.55
2023-01-14, fmrif3ta, 360.37, 154.37
2023-01-17, fmrif3ta, 421.76, 167.27
2023-01-18, fmrif3ta, 371.25, 156.93
2023-01-19, fmrif3ta, 421.44, 165.01
2023-01-21, fmrif3ta, 311.2, 162.74
2023-01-22, fmrif3ta, 370.02, 153.51
2023-01-24, fmrif3ta, 385.22, 140.11
2023-01-25, fmrif3ta, 364.65, 149.08
2023-01-26, fmrif3ta, 405.69, 137.88
2023-01-27, fmrif3ta, 376.06, 171.81
2023-01-28, fmrif3ta, 349.6, 174.42
2023-01-31, fmrif3ta, 374.86, 147.14
2023-02-01, fmrif3ta, 327.6, 131.08
2023-02-02, fmrif3ta, 353.91, 152.1
2023-02-06, fmrif3ta, 407.37, 138.12
2023-02-07, fmrif3ta, 371.73, 156.93
2023-02-08, fmrif3ta, 412.45, 131.01
2023-02-09, fmrif3ta, 392.15, 206.52
2023-02-11, fmrif3ta, 379.36, 141.87
2023-02-13, fmrif3ta, 357.68, 180.48
2023-02-14, fmrif3ta, 315.24, 136.99
2023-02-15, fmrif3ta, 407.76, 106.64
2023-02-18, fmrif3ta, 431.08, 171.27
2023-02-22, fmrif3ta, 383.25, 167.42
2023-02-25, fmrif3ta, 363.66, 126.88
2023-02-27, fmrif3ta, 379.43, 164.54
2023-02-28, fmrif3ta, 421.07, 159.48
2023-03-01, fmrif3ta, 249.21, 174.08
2023-03-02, fmrif3ta, 372.04, 87.38
2023-03-04, fmrif3ta, 388.59, 140.58
2023-03-05, fmrif3ta, 349.53, 197.12
