Date, scanner, mean_snr, mean_tsnr
2022-11-02, fmrif3td, 286.09, 194.6
2022-11-03, fmrif3td, 287.72, 193.19
2022-11-04, fmrif3td, 282.97, 198.03
2022-11-07, fmrif3td, 283.08, 195.2
2022-11-08, fmrif3td, 289.67, 194.35
2022-11-09, fmrif3td, 277.61, 182.78
2022-11-14, fmrif3td, 277.91, 185.1
2022-11-15, fmrif3td, 278.06, 183.25
2022-11-16, fmrif3td, 124.78, 110.12
2022-11-01, fmrif3td, 282.12, 187.55
2022-10-31, fmrif3td, 284.38, 178.59
2022-10-29, fmrif3td, 276.73, 195.72
2022-10-27, fmrif3td, 284.21, 186.63
2022-10-25, fmrif3td, 271.56, 195.09
2022-10-24, fmrif3td, 284.82, 190.56
2022-11-20, fmrif3td, 279.37, 181.85
2022-10-23, fmrif3td, 273.38, 187.65
2022-10-16, fmrif3td, 296.07, 190.9
2022-10-05, fmrif3td, 277.56, 179
2022-11-21, fmrif3td, 279.03, 185.17
2022-10-13, fmrif3td, 287.79, 181.26
2022-10-11, fmrif3td, 278.09, 191.22
2022-10-07, fmrif3td, 281.3, 196.15
2022-10-06, fmrif3td, 304.86, 203.88
2022-11-23, fmrif3td, 278.07, 183.64
2022-11-28, fmrif3td, 286.01, 176.07
2022-11-29, fmrif3td, 274.22, 184.06
2022-11-30, fmrif3td, 287.51, 188.42
2022-12-01, fmrif3td, 284.24, 194.12
2022-12-02, fmrif3td, 269.27, 183.85
2022-12-03, fmrif3td, 292.32, 190.54
2022-12-04, fmrif3td, 283.4, 180.66
2022-11-25, fmrif3td, 285.42, 190.79
2022-11-22, fmrif3td, 277.89, 190.04
2022-12-05, fmrif3td, 276.96, 177.5
2022-12-05, fmrif3td, 291.71, 186.1
2022-12-10, fmrif3td, 281.74, 195.28
2022-12-11, fmrif3td, 279.68, 181.37
2022-12-12, fmrif3td, 271.98, 178.52
2022-12-12, fmrif3td, 284.52, 195.87
2022-12-13, fmrif3td, 213.99, 135.31
