Date, scanner, mean_snr, mean_tsnr
2022-11-21, AWP79139, 292.41, 282.16
2022-11-28, AWP79139, 376, 323.52
2022-11-29, AWP79139, 418.69, 383.97
2022-11-30, AWP79139, 411.96, 347.88
2022-12-01, AWP79139, 413.56, 357.38
2022-12-02, AWP79139, 422.91, 361.99
2022-12-03, AWP79139, 419.59, 368.32
2022-12-04, AWP79139, 418.43, 361.93
2022-11-22, fmrif7tb, 382.61, 367.27
2022-12-07, AWP79139, 400.27, 383.07
2022-12-10, AWP79139, 402.43, 357.02
2022-12-12, AWP79139, 418.42, 349.05
2022-12-13, AWP79139, 382.1, 357.15
2022-12-14, AWP79139, 274.49, 264.24
2022-12-15, AWP79139, 384.82, 342.61
2022-12-20, AWP79139, 414.09, 391.23
2022-12-22, AWP79139, 451.77, 387.71
2022-12-27, AWP79139, 393.26, 345.95
2022-12-28, AWP79139, 375.59, 340.73
2022-12-29, AWP79139, 376.54, 332.24
2022-12-30, AWP79139, 384.65, 322.63
2023-01-03, AWP79139, 387.38, 316.55
2023-01-04, AWP79139, 385.4, 355.11
2023-01-06, AWP79139, 390.43, 371.87
2023-01-09, AWP79139, 340.42, 302.02
2023-01-10, AWP79139, 432.37, 369.53
2023-01-11, AWP79139, 435.82, 400.29
2023-01-12, AWP79139, 417.21, 389.58
2023-01-13, AWP79139, 426.01, 421.52
2023-01-14, AWP79139, 439.07, 409.13
2023-01-17, AWP79139, 432.17, 388.14
2023-01-19, AWP79139, 430.06, 395.69
2023-01-21, AWP79139, 392.99, 361.1
2023-01-22, AWP79139, 393.12, 347.14
2023-01-23, AWP79139, 398.89, 351.5
2023-01-25, AWP79139, 380.02, 346.23
2023-01-26, fmrif7tb, 455.74, 407.7
2023-01-27, AWP79139, 425.03, 367.89
2023-01-30, AWP79139, 463.58, 395.19
2023-01-31, AWP79139, 398.19, 366.84
2023-02-02, AWP79139, 250.69, 211.67
2023-02-03, AWP79139, 404.1, 363.49
2023-02-04, AWP79139, 377.02, 336.2
2023-02-06, AWP79139, 402.96, 353.2
2023-02-07, AWP79139, 406.39, 364.48
2023-02-08, AWP79139, 431.53, 384.99
2023-02-09, AWP79139, 435.57, 393.02
2023-02-10, AWP79139, 433.27, 402.05
2023-02-11, AWP79139, 400.2, 375.96
2023-02-13, AWP79139, 434.49, 379.18
2023-02-15, AWP79139, 415.24, 370.59
2023-02-19, AWP79139, 349.2, 322.23
2023-02-21, AWP79139, 362.57, 320.65
2023-02-22, AWP79139, 376.47, 349.96
2023-02-23, AWP79139, 383.89, 378.85
2023-02-24, AWP79139, 356.51, 356.66
2023-02-28, AWP79139, 310.25, 319.81
2023-03-01, AWP79139, 253.88, 303.47
2023-03-02, AWP79139, 251.33, 317.22
2023-03-08, AWP79139, 378.94, 362.94
2023-03-09, AWP79139, 355.67, 352.69
2023-03-10, AWP79139, 21.5, 34.78
2023-03-13, AWP79139, 289.62, 329.78
2023-03-14, AWP79139, 309.77, 354.47
2023-03-16, AWP79139, 341.76, 339.6
2023-03-15, AWP79139, 336.14, 312.93
2023-03-17, AWP79139, 362.03, 356.13
2023-03-20, AWP79139, 423.62, 381.61
2023-03-21, AWP79139, 428.09, 371.68
2023-03-22, AWP79139, 414.57, 383.46
2023-03-24, AWP79139, 360.72, 324.19
2023-03-27, AWP79139, 356.85, 350.16
2023-03-28, AWP79139, 396.26, 361.39
2023-04-04, AWP79139, 422, 375.41
2023-04-05, AWP79139, 416.56, 391.79
2023-04-07, AWP79139, 350.13, 335.95
2023-04-08, AWP79139, 332.1, 322.51
2023-04-09, AWP79139, 332.38, 333.94
2023-04-10, AWP79139, 343.28, 327.87
2023-04-12, AWP79139, 384.33, 355.94
2023-04-14, AWP79139, 380.73, 336.95
2023-04-15, AWP79139, 401.81, 359.71
2023-04-16, AWP79139, 380.89, 339.58
2023-04-17, AWP79139, 356.96, 318
2023-04-18, AWP79139, 314.1, 290.98
2023-04-20, AWP79139, 310.99, 287.89
2023-04-21, AWP79139, 370.32, 334.5
2023-04-24, AWP79139, 982.24, 736.78
2023-04-25, AWP79139, 361.43, 314.98
2023-04-27, AWP79139, 409.31, 357.6
2023-04-28, AWP79139, 408.49, 370.82
2023-05-01, AWP79139, 49.27, 52.32
2023-05-02, AWP79139, 63.76, 61.6
2023-05-03, AWP79139, 75.44, 62.81
2023-05-04, AWP79139, 131.85, 65.74
2023-05-05, AWP79139, 100.26, 74.26
2023-05-08, AWP79139, 439.15, 372.48
2023-05-09, AWP79139, 386.52, 344.36
